 Al Density=2.699
 Energy(eV), Delta, Beta 
  205.490906  0.00998593029  0.0077452776
  208.355347  0.00981075689  0.00740233716
  211.259705  0.00963093154  0.0070745456
  214.204544  0.0094469497  0.00676132739
  217.190445  0.00925830938  0.00646194443
  220.217957  0.0090650674  0.00617581047
  223.287674  0.008864915  0.00590744289
  226.400192  0.00866482221  0.00566261029
  229.556091  0.00847293157  0.00543671753
  232.755981  0.00829183497  0.00521983206
  236.000458  0.00811490603  0.00501160184
  239.290176  0.00794219412  0.00481167575
  242.625763  0.007773221  0.00461973343
  246.007828  0.0076079485  0.00443544658
  249.437057  0.00744639477  0.00425850041
  252.914062  0.00728866365  0.00408861553
  256.439545  0.00713497913  0.00392551348
  260.01416  0.00698596006  0.00376891391
  263.638641  0.00684499415  0.00361856748
  267.313599  0.00671245204  0.00346939522
  271.039825  0.0065798671  0.00330959214
  274.817963  0.00644135056  0.00315217976
  278.648773  0.00629835995  0.00300225709
  282.53299  0.0061544124  0.00285946787
  286.471375  0.00601066696  0.00272346963
  290.4646  0.00586768519  0.0025939378
  294.513519  0.00572580518  0.00247056177
  298.618896  0.00558566116  0.00235306146
  302.781494  0.00544742635  0.00224114466
  307.002106  0.00531124324  0.0021345506
  311.281525  0.00517725153  0.00203303201
  315.620605  0.00504557136  0.00193633861
  320.020203  0.00491625024  0.00184424245
  324.48111  0.00478915172  0.00175652409
  329.004181  0.00466448441  0.00167298585
  333.590363  0.00454228465  0.00159341563
  338.240417  0.00442252867  0.00151762599
  342.955322  0.00430515921  0.001445445
  347.735901  0.00419010548  0.00137670187
  352.58316  0.00407723477  0.001311225
  357.497986  0.00396578712  0.00124885829
  362.481323  0.003856336  0.00119226985
  367.534119  0.00375089864  0.00113925617
  372.657349  0.00364917889  0.00108883879
  377.85199  0.0035506303  0.00104065414
  383.119019  0.00345490896  0.000994601753
  388.459473  0.00336188078  0.000950584479
  393.87439  0.00327141839  0.000908520306
  399.364807  0.00318343169  0.000868314994
  404.931732  0.0030978655  0.000829889148
  410.576233  0.00301465229  0.000793162442
  416.299469  0.00293374434  0.000758060836
  422.102448  0.00285511068  0.000724514539
  427.986359  0.00277876062  0.000692452886
  433.95224  0.00270484202  0.000661807659
  440.001282  0.00263321726  0.00063127483
  446.134674  0.00256282068  0.000601695792
  452.353577  0.00249378267  0.000573434867
  458.659119  0.00242628832  0.000546508702
  465.052582  0.0023604345  0.000520842383
  471.535156  0.00229621888  0.000496378168
  478.108093  0.00223360886  0.000473066611
  484.772644  0.00217264728  0.000450844789
  491.530151  0.00211328431  0.000429642329
  498.381775  0.00205553463  0.000409342028
  505.328979  0.00199930021  0.00038984936
  512.372986  0.00194444228  0.000371163653
  519.515198  0.00189088343  0.000353332667
  526.756958  0.00183867454  0.000336382916
  534.09967  0.00178782584  0.000320289313
  541.544739  0.00173836062  0.000304985035
  549.093506  0.00169030763  0.000290416414
  556.74762  0.00164360285  0.000276425737
  564.508362  0.00159812369  0.000262988004
  572.377319  0.00155378925  0.000250116107
  580.355957  0.0015105959  0.000237795452
  588.445801  0.00146846706  0.000226063552
  596.648438  0.00142743473  0.0002148965
  604.965332  0.00138748309  0.000204281576
  613.398315  0.00134860864  0.000194190623
  621.948669  0.00131081499  0.000184592631
  630.618347  0.00127408083  0.000175422712
  639.408813  0.00123835483  0.00016660009
  648.321838  0.00120355701  0.000158081035
  657.35907  0.00116953114  0.000149893021
  666.522278  0.0011361707  0.000142131757
  675.813293  0.00110359583  0.00013500113
  685.233704  0.0010720056  0.000128454951
  694.785522  0.00104147336  0.000122357349
  704.470398  0.00101195369  0.000116545336
  714.290344  0.000983374775  0.000110862777
  724.247192  0.000955524738  0.000105345622
  734.342834  0.000928378955  0.000100104029
  744.579163  0.000901974854  9.51225666E-05
  754.958191  0.000876295788  9.03883847E-05
  765.481934  0.000851325924  8.58863641E-05
  776.152344  0.000827051408  8.15991589E-05
  786.971436  0.000803450879  7.75098742E-05
  797.941406  0.000780487142  7.36121438E-05
  809.06427  0.000758142211  6.99100419E-05
  820.342224  0.00073641265  6.63931933E-05
  831.777283  0.00071528292  6.30530703E-05
  843.371826  0.000694736664  5.98807055E-05
  855.127991  0.000674757117  5.68668256E-05
  867.047974  0.0006553274  5.40021647E-05
  879.134155  0.000636435929  5.12792831E-05
  891.388855  0.000618060585  4.86939716E-05
  903.814331  0.00060018868  4.62392454E-05
  916.413025  0.000582812412  4.39084688E-05
  929.187317  0.000565915892  4.1692474E-05
  942.139648  0.000549481076  3.95859643E-05
  955.272583  0.000533492828  3.758608E-05
  968.588562  0.000517942128  3.56874007E-05
  982.09021  0.000502810697  3.3883447E-05
  995.779968  0.000488090998  3.21738444E-05
  1009.66058  0.000473763386  3.05535432E-05
  1023.7348  0.000459826348  2.90331755E-05
  1038.005  0.000446284539  2.75938801E-05
  1052.47424  0.000433125068  2.62099456E-05
  1067.14514  0.00042030873  2.48805227E-05
  1082.02051  0.000407818443  2.36180458E-05
  1097.10339  0.000395653013  2.24197211E-05
  1112.39636  0.000383802253  2.12821196E-05
  1127.90259  0.000372258626  2.02023293E-05
  1143.62488  0.000361009705  1.91774543E-05
  1159.56641  0.000350043789  1.82045387E-05
  1175.73022  0.000339352962  1.7280805E-05
  1192.11926  0.000328918861  1.64039975E-05
  1208.73682  0.000318725768  1.55717098E-05
  1225.58594  0.0003087683  1.47816272E-05
  1242.66992  0.000299032254  1.40339007E-05
  1259.99194  0.000289507239  1.33270332E-05
  1277.55554  0.000280179986  1.26589557E-05
  1295.36401  0.000271034834  1.20269706E-05
  1313.42078  0.000262058893  1.14264267E-05
  1331.72913  0.000253197853  1.08559079E-05
  1350.29272  0.000244443829  1.03138409E-05
  1369.11511  0.000235766871  9.79885772E-06
  1388.19983  0.000227126846  9.30964325E-06
  1407.55054  0.000218470203  8.84490419E-06
  1400.  0.000221898183  9.0226431E-06
  1400.54492  0.000221653376  9.00966461E-06
  1401.08984  0.000221403723  8.99670886E-06
  1401.63501  0.00022115426  8.98377039E-06
  1402.18066  0.000220904971  8.97084738E-06
  1402.72632  0.000220656017  8.95794528E-06
  1403.27209  0.000220407353  8.9450632E-06
  1403.81836  0.000220158836  8.93219658E-06
  1404.36462  0.000219910653  8.91935088E-06
  1404.91113  0.000219662717  8.90652245E-06
  1405.45789  0.000219415015  8.89371313E-06
  1406.00476  0.000219167589  8.88092291E-06
  1406.552  0.000218920366  8.86814996E-06
  1407.09949  0.00021867342  8.85539521E-06
  1407.64709  0.000218426707  8.84265773E-06
  1408.19482  0.000218180299  8.82994209E-06
  1408.7428  0.000217934125  8.81724372E-06
  1409.29114  0.000217688153  8.80455991E-06
  1409.83948  0.000217442503  8.79189884E-06
  1410.38806  0.000217197085  8.77925413E-06
  1410.93701  0.000216951899  8.76662762E-06
  1411.48608  0.000216706962  8.75401929E-06
  1412.03552  0.000216462227  8.74142734E-06
  1412.58496  0.000216217813  8.7288563E-06
  1413.13464  0.000215973647  8.71630346E-06
  1413.68457  0.000215729728  8.70376698E-06
  1414.23486  0.000215485983  8.69124779E-06
  1414.78528  0.000215242544  8.67874678E-06
  1415.33582  0.000214999382  8.66626578E-06
  1415.8866  0.000214756437  8.65380207E-06
  1416.4375  0.000214513755  8.64135745E-06
  1416.98865  0.000214271422  8.62893739E-06
  1417.54028  0.000214029104  8.61651824E-06
  1418.09192  0.000213787134  8.60412547E-06
  1418.6438  0.000213545427  8.59175088E-06
  1419.19592  0.000213303967  8.57939449E-06
  1419.74817  0.000213062769  8.56705537E-06
  1420.30066  0.000212821818  8.55473536E-06
  1420.85339  0.000212581101  8.54243171E-06
  1421.40637  0.000212340616  8.53014535E-06
  1421.95947  0.00021210048  8.51788445E-06
  1422.51282  0.000211860504  8.50563447E-06
  1423.06641  0.000211615115  8.49339995E-06
  1423.62024  0.000211358813  8.48118088E-06
  1424.17432  0.000211102742  8.4689791E-06
  1424.72852  0.000210846993  8.45679551E-06
  1425.28296  0.00021059149  8.44463011E-06
  1425.83765  0.000210336264  8.43247926E-06
  1426.39258  0.000210081285  8.42034842E-06
  1426.94775  0.000209826583  8.40823395E-06
  1427.50293  0.000209572187  8.39613858E-06
  1428.05859  0.000209318008  8.38405776E-06
  1428.61426  0.00020906415  8.37199786E-06
  1429.17017  0.000208810554  8.35995343E-06
  1429.72644  0.000208557161  8.34792536E-06
  1430.28271  0.000208304147  8.3359173E-06
  1430.83948  0.000208051264  8.32392288E-06
  1431.39624  0.000207798745  8.31194848E-06
  1431.95337  0.000207546444  8.29999044E-06
  1432.51062  0.000207294448  8.28804878E-06
  1433.06799  0.000207042729  8.27612712E-06
  1433.62573  0.000206791243  8.26422092E-06
  1434.18372  0.000206540004  8.25233019E-06
  1434.74182  0.000206289071  8.24045856E-06
  1435.30017  0.00020603837  8.22860329E-06
  1435.85876  0.000205787976  8.21676531E-06
  1436.4176  0.000205537784  8.2049437E-06
  1436.97644  0.000205287957  8.19314118E-06
  1437.53577  0.00020503829  8.18135231E-06
  1438.09521  0.000204788957  8.16958345E-06
  1438.65491  0.000204539843  8.15782914E-06
  1439.21472  0.000204291035  8.14609393E-06
  1439.77478  0.000204042473  8.134376E-06
  1440.33521  0.00020379413  8.12267081E-06
  1440.89563  0.000203546122  8.11098653E-06
  1441.45642  0.000203298332  8.09931771E-06
  1442.01733  0.000203050819  8.08766526E-06
  1442.57861  0.000202803552  8.0760301E-06
  1443.14001  0.000202556534  8.0644113E-06
  1443.70166  0.000202309806  8.05280797E-06
  1444.26331  0.000202063384  8.04122556E-06
  1444.82544  0.000201817165  8.02965678E-06
  1445.3877  0.000201571209  8.01810529E-06
  1445.95032  0.000201322866  8.00656017E-06
  1446.51294  0.000201052986  7.99497229E-06
  1447.07581  0.000200783557  7.98340807E-06
  1447.63916  0.000200514041  7.97184293E-06
  1448.20239  0.000200245093  7.96030599E-06
  1448.76599  0.000199976377  7.9487836E-06
  1449.32996  0.000199707909  7.93727486E-06
  1449.8938  0.000199439994  7.92579522E-06
  1450.45813  0.00019917202  7.91431557E-06
  1451.02258  0.000198904498  7.90285958E-06
  1451.58728  0.000198637281  7.89141995E-06
  1452.15222  0.000198370341  7.87999761E-06
  1452.71729  0.000198103837  7.868598E-06
  1453.28259  0.000197837522  7.85720931E-06
  1453.84814  0.000197571455  7.84583608E-06
  1454.41394  0.000197305722  7.83447922E-06
  1454.9801  0.000197040208  7.82313782E-06
  1455.54614  0.000196775087  7.81181552E-06
  1456.11279  0.000196510184  7.80050686E-06
  1456.67932  0.000196245615  7.7892164E-06
  1457.24634  0.000195981309  7.77794048E-06
  1457.81335  0.000195717337  7.76668367E-06
  1458.38062  0.000195453671  7.7554414E-06
  1458.94824  0.000195190223  7.74421551E-06
  1459.51599  0.000194927125  7.7330069E-06
  1460.08398  0.000194664288  7.72181284E-06
  1460.65222  0.000194401757  7.71063605E-06
  1461.2207  0.000194139502  7.69947474E-06
  1461.78931  0.000193877553  7.68832979E-06
  1462.35828  0.000193615866  7.6772003E-06
  1462.92737  0.000193354485  7.66608809E-06
  1463.49658  0.000193093438  7.65499226E-06
  1464.06616  0.000192832624  7.64391189E-06
  1464.63599  0.000192572101  7.63284697E-06
  1465.20593  0.000192311883  7.62179798E-06
  1465.77625  0.000192051928  7.6107649E-06
  1466.34644  0.000191792336  7.59975137E-06
  1466.91724  0.000191532963  7.58874967E-06
  1467.48804  0.00019127391  7.57776525E-06
  1468.05908  0.000191015148  7.5667981E-06
  1468.63062  0.000190756604  7.55584279E-06
  1469.20203  0.000190498424  7.54490702E-06
  1469.7738  0.00019020628  7.53389304E-06
  1470.3457  0.000189909129  7.52288179E-06
  1470.91797  0.000189612314  7.511886E-06
  1471.49048  0.000189315819  7.50090476E-06
  1472.06311  0.000189019687  7.4899408E-06
  1472.63599  0.00018872392  7.47899412E-06
  1473.20911  0.000188428472  7.46806109E-06
  1473.78235  0.000188133388  7.45714624E-06
  1474.35596  0.000187838639  7.44624595E-06
  1474.92957  0.000187544269  7.43536248E-06
  1475.50378  0.00018725016  7.42449311E-06
  1476.07788  0.000186956488  7.41364147E-06
  1476.65234  0.000186663106  7.40280484E-06
  1477.22705  0.000186370075  7.39198458E-06
  1477.80188  0.000186077406  7.38118024E-06
  1478.37695  0.000185785073  7.37039227E-06
  1478.95239  0.000185493031  7.35961703E-06
  1479.52783  0.000185201599  7.34886771E-06
  1480.10364  0.00018491027  7.33812612E-06
  1480.67981  0.000184619086  7.32739136E-06
  1481.25586  0.000184328688  7.31669024E-06
  1481.83228  0.000184038407  7.3059955E-06
  1482.40906  0.000183748431  7.29531621E-06
  1482.98584  0.000183458833  7.28465329E-06
  1483.56299  0.000183169555  7.27400538E-06
  1484.1405  0.000182880394  7.26336611E-06
  1484.71802  0.000182592019  7.25275504E-06
  1485.2959  0.000182303556  7.2421476E-06
  1485.87378  0.00018201585  7.23156927E-06
  1486.45203  0.000181728275  7.22099958E-06
  1487.03052  0.000181441021  7.21044444E-06
  1487.60938  0.000181154071  7.19990385E-06
  1488.18823  0.000180867515  7.18938099E-06
  1488.76733  0.000180581308  7.17887224E-06
  1489.34668  0.000180295421  7.1683794E-06
  1489.92627  0.000180009854  7.15790247E-06
  1490.5061  0.000179724637  7.1474401E-06
  1491.08618  0.000179439739  7.13699274E-06
  1491.6665  0.000179155162  7.12656038E-06
  1492.24695  0.000178870934  7.11614348E-06
  1492.82776  0.000178587041  7.10574204E-06
  1493.40869  0.00017825533  7.09509141E-06
  1493.98975  0.000177896407  7.08430662E-06
  1494.57129  0.000177537862  7.07353593E-06
  1495.15283  0.000177179798  7.06278297E-06
  1495.73486  0.000176822141  7.05204457E-06
  1496.31677  0.000176465022  7.04132526E-06
  1496.89929  0.000176108253  7.0306196E-06
  1497.48169  0.000175752022  7.01993258E-06
  1498.06445  0.00017539617  7.00926012E-06
  1498.64746  0.000175040812  6.99860493E-06
  1499.23071  0.000174685862  6.98796475E-06
  1499.81421  0.000174331377  6.9773414E-06
  1500.39783  0.000173977343  6.96673487E-06
  1500.98181  0.000173623746  6.95614381E-06
  1501.56592  0.000173270586  6.9455682E-06
  1502.15015  0.000172917906  6.93500988E-06
  1502.73486  0.000172565618  6.92446702E-06
  1503.31958  0.000172213797  6.91394052E-06
  1503.90479  0.000171862412  6.90342858E-06
  1504.48987  0.000171511507  6.89293529E-06
  1505.07556  0.00017116098  6.88245473E-06
  1505.66113  0.000170810948  6.87199281E-06
  1506.24707  0.000170461353  6.86154681E-06
  1506.83325  0.000170112195  6.8511149E-06
  1507.41968  0.000169763458  6.84069983E-06
  1508.00635  0.000169415158  6.83030021E-06
  1508.59326  0.000169067309  6.81991651E-06
  1509.18018  0.000168720188  6.80955554E-06
  1509.76758  0.000168372935  6.79919685E-06
  1510.3551  0.000168026396  6.7888609E-06
  1510.94299  0.000167680293  6.77853905E-06
  1511.53088  0.000167334918  6.76824175E-06
  1512.11926  0.000166989383  6.7579449E-06
  1512.70764  0.000166644895  6.74767807E-06
  1513.29626  0.000166300553  6.73742079E-06
  1513.88525  0.000165956604  6.72717715E-06
  1514.47437  0.000165613135  6.71695125E-06
  1515.06384  0.000165270074  6.70673944E-06
  1515.65332  0.000164927493  6.69654492E-06
  1516.24329  0.000164585275  6.68636312E-06
  1516.83325  0.000164243553  6.67619997E-06
  1517.42358  0.000163817647  6.66602773E-06
  1518.01416  0.000163263321  6.65584002E-06
  1518.60486  0.000162709795  6.64566687E-06
  1519.1958  0.000162156997  6.63551009E-06
  1519.78711  0.000161604956  6.6253674E-06
  1520.37854  0.000161053686  6.61524018E-06
  1520.97021  0.000160503187  6.60512978E-06
  1521.56226  0.000159953415  6.59503303E-06
  1522.1543  0.000159404444  6.58495446E-06
  1522.74658  0.00015885623  6.5748909E-06
  1523.33923  0.000158308743  6.56484144E-06
  1523.93213  0.000157762013  6.55480699E-06
  1524.52527  0.00015721604  6.54478754E-06
  1525.11853  0.000156670823  6.53478446E-06
  1525.71204  0.000156126378  6.5247973E-06
  1526.30579  0.00015558266  6.51482424E-06
  1526.89978  0.000155039714  6.50486663E-06
  1527.4939  0.000154497524  6.49492631E-06
  1528.08838  0.000153956062  6.48499781E-06
  1528.68298  0.000153415371  6.47508659E-06
  1529.27795  0.000152875407  6.46518993E-06
  1529.87317  0.000152336172  6.45530827E-06
  1530.46838  0.000151797751  6.44544298E-06
  1531.06409  0.000151260014  6.43559088E-06
  1531.65991  0.000150723048  6.42575424E-06
  1532.25598  0.00015018681  6.4159326E-06
  1532.85229  0.000149651314  6.40612689E-06
  1533.44885  0.000149116575  6.39633572E-06
  1534.04565  0.000148582563  6.38655956E-06
  1534.64258  0.000148049308  6.37679841E-06
  1535.23987  0.000147516781  6.36705136E-06
  1535.8374  0.000146984981  6.35731885E-06
  1536.43506  0.000146453938  6.34760272E-06
  1537.03296  0.000145923637  6.3379016E-06
  1537.6311  0.000145394064  6.32821502E-06
  1538.22949  0.000144865233  6.31854209E-06
  1538.82812  0.000144337144  6.30888508E-06
  1539.42688  0.000143809782  6.29924352E-06
  1540.02612  0.000143283134  6.2896147E-06
  1540.62537  0.000142757228  6.28000134E-06
  1541.22498  0.000142232049  6.27040299E-06
  1541.82471  0.000141189666  6.26081965E-06
  1542.4248  0.000137392431  6.2512504E-06
  1543.02502  0.000133601046  6.24169479E-06
  1543.62549  0.000129819993  6.23216101E-06
  1544.22632  0.000126035695  6.22262905E-06
  1544.82727  0.000122261728  6.21311756E-06
  1545.42834  0.000118498087  6.20362835E-06
  1546.02991  0.000114731185  6.19413959E-06
  1546.63147  0.00011097909  6.18467902E-06
  1547.2334  0.000107228254  6.17522483E-06
  1547.83545  0.000103483209  6.16578745E-06
  1548.43787  9.97438983E-05  6.15636236E-06
  1549.04041  9.60103644E-05  6.14695364E-06
  1549.64331  9.22825711E-05  6.13755765E-06
  1550.24646  8.85605041E-05  6.12817621E-06
  1550.84973  8.4844185E-05  6.11880932E-06
  1551.45325  8.11335995E-05  6.10945699E-06
  1552.05701  7.74287255E-05  6.10011921E-06
  1552.66101  7.37295777E-05  6.09079643E-06
  1553.26514  7.00361416E-05  6.08148775E-06
  1553.86963  6.63483879E-05  6.07219181E-06
  1554.47449  6.26663314E-05  6.06290951E-06
  1555.07935  5.89899792E-05  6.05364403E-06
  1555.68469  5.53192876E-05  6.04438992E-06
  1556.28992  5.16542932E-05  6.03515264E-06
  1556.89563  4.79949522E-05  6.02592809E-06
  1557.50159  4.43412755E-05  6.01671718E-06
  1558.10754  4.06932668E-05  6.00752173E-06
  1558.71411  3.70508824E-05  5.99833811E-06
  1559.32056  3.34141587E-05  5.98917131E-06
  1559.92737  3.52652351E-05  7.10906388E-05
  1560.53455  4.29887514E-05  7.09976739E-05
  1561.14185  5.07002333E-05  7.09048472E-05
  1561.74939  5.83996916E-05  7.08121224E-05
  1562.35718  6.60871447E-05  7.07195359E-05
  1562.96521  7.37625887E-05  7.06270584E-05
  1563.57349  8.14260638E-05  7.05347047E-05
  1564.18201  8.90775627E-05  7.04424747E-05
  1564.79065  9.67171218E-05  7.03503756E-05
  1565.39966  0.000104344741  7.02583711E-05
  1566.00879  0.000111960442  7.01665122E-05
  1566.61829  0.000119564203  7.00747623E-05
  1567.22791  0.000120845958  6.99831216E-05
  1567.83777  0.000121543228  6.98916047E-05
  1568.448  0.000122239318  6.98001822E-05
  1569.05847  0.00012293426  6.97088908E-05
  1569.66895  0.000123628066  6.96177303E-05
  1570.27979  0.000124320708  6.9526679E-05
  1570.89087  0.0001250122  6.94357586E-05
  1571.5022  0.000125702543  6.93449401E-05
  1572.11389  0.000126391707  6.92542453E-05
  1572.72571  0.000127079751  6.91636742E-05
  1573.33777  0.000127766645  6.90732122E-05
  1573.95007  0.00012845239  6.89828739E-05
  1574.56262  0.000129136984  6.88926521E-05
  1575.17529  0.000129820459  6.88025684E-05
  1575.78821  0.000130501823  6.87126376E-05
  1576.40161  0.000131183944  6.8622714E-05
  1577.01501  0.000131863038  6.8533016E-05
  1577.62878  0.000132542889  6.84433398E-05
  1578.24268  0.000133219713  6.83538747E-05
  1578.85693  0.000133896334  6.8264475E-05
  1579.47144  0.00013457278  6.81751408E-05
  1580.08606  0.000135246199  6.80860394E-05
  1580.70093  0.000135919443  6.79969889E-05
  1581.31604  0.000136591552  6.79080622E-05
  1581.93152  0.000137262512  6.78192373E-05
  1582.54712  0.00013793238  6.77305434E-05
  1583.16309  0.000138601099  6.76419586E-05
  1583.77905  0.000139268726  6.75535048E-05
  1584.39539  0.000139935204  6.74651601E-05
  1585.01208  0.000140600547  6.73769173E-05
  1585.62891  0.000141264783  6.72887909E-05
  1586.24597  0.000141927914  6.72007882E-05
  1586.86328  0.00014258991  6.71129019E-05
  1587.48071  0.000143250829  6.70251466E-05
  1588.09863  0.000143910584  6.69374713E-05
  1588.71655  0.000144569261  6.68499415E-05
  1589.33496  0.00014522679  6.67625136E-05
  1589.95349  0.000145883227  6.66751948E-05
  1590.57227  0.000146538543  6.65879852E-05
  1591.19116  0.000147192797  6.65009138E-05
  1591.81042  0.000147845902  6.64139297E-05
  1592.42993  0.000148184714  6.63270839E-05
  1593.04968  0.000148374063  6.62403327E-05
  1593.66968  0.000148563035  6.61537051E-05
  1594.28979  0.000148751657  6.60672158E-05
  1594.91016  0.000148939886  6.59808211E-05
  1595.53088  0.000149127707  6.58945282E-05
  1596.15186  0.000149315136  6.58083518E-05
  1596.77307  0.000149502201  6.5722299E-05
  1597.39441  0.000149688887  6.56363482E-05
  1598.01599  0.00014987521  6.5550521E-05
  1598.63794  0.000150061125  6.54648029E-05
  1599.26001  0.000150246691  6.5379194E-05
  1599.88245  0.000150431835  6.52936869E-05
  1600.50513  0.000150616615  6.52083036E-05
  1601.12793  0.000150801032  6.51230366E-05
  1601.7511  0.000150985041  6.50378643E-05
  1602.37451  0.000151168686  6.49528156E-05
  1602.99792  0.000151351982  6.48678906E-05
  1603.62183  0.00015153487  6.47830602E-05
  1604.24597  0.000151717381  6.46983244E-05
  1604.87012  0.000151899556  6.46137414E-05
  1605.49487  0.00015208128  6.45292312E-05
